C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2016/02/03,16:15:07,0000000268357547,DISPATCHSCADA,0000000268357541
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BUTLERSG,-0.000002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",CAPTL_WF,119.467995
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",CATHROCK,25.369999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",CHALLHWF,48.200001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",CLOVER,-0.10
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",CLUNY,8.059560
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",CNUNDAWF,23.727680
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",CULLRGWF,19.780001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",GB01,0.169380
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",GERMCRK,31
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",LKBONNY1,40.278522
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",MBAHNTH,30.806252
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",MLWF1,17.549999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",MTMILLAR,40.517941
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",PIONEER,29.300001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",PORTWF,68.699997
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",REPULSE,12.957399
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",ROWALLAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",RPCG,-0.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",STARHLWF,16.595161
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",WAUBRAWF,183.384003
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",WOOLNTH1,128.520020
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",WPWF,80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",YAMBUKWF,12.90
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BALDHWF1,78.0010
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BARCALDN,33.476920
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BARRON-1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BARRON-2,25.36
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BASTYAN,69.84
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BBTHREE1,28.74
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BBTHREE2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BBTHREE3,15.98
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BDL01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BDL02,20.22
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:20:00",BLOWERNG,8.800260
