C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2016/02/03,21:55:08,0000000268364491,DISPATCHSCADA,0000000268364485
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BUTLERSG,-0.000002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",CAPTL_WF,72.351997
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",CATHROCK,23.039999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",CHALLHWF,43
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",CLOVER,-0.01
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",CLUNY,8.416810
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",CNUNDAWF,10.812613
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",CULLRGWF,29.040001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",GB01,0.170494
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",GERMCRK,35.599998
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",LKBONNY1,20.005297
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",MBAHNTH,35.193752
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",MLWF1,12.1350
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",MTMILLAR,51.270638
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",PIONEER,31.300001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",PORTWF,36.50
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",REPULSE,13.814875
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",ROWALLAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",RPCG,-1
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",STARHLWF,18.094723
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",WAUBRAWF,172.25
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",WOOLNTH1,90.500015
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",WPWF,59
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",YAMBUKWF,22
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BALDHWF1,48.4360
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BARCALDN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BARRON-1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BARRON-2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BASTYAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BBTHREE1,28.85
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BBTHREE2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BBTHREE3,14.88
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BDL01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BDL02,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BLOWERNG,15.900230
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BLUFF1,49.40
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 22:00:00",BOCORWF1,68.53
