C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2016/02/03,20:50:07,0000000268363316,DISPATCHSCADA,0000000268363310
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",BUTLERSG,-0.000002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",CAPTL_WF,88.939995
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",CATHROCK,14.669999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",CHALLHWF,46.599998
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",CLOVER,-0.01
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",CLUNY,7.816630
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",CNUNDAWF,8.710161
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",CULLRGWF,30.110001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",GB01,0.169029
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",GERMCRK,33.50
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",LKBONNY1,9.734720
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",MBAHNTH,35.118752
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",MLWF1,13.6050
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",MTMILLAR,41.329044
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",PIONEER,31.50
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 20:55:00",PORTWF,48.799999
