C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2016/02/03,15:40:07,0000000268356767,DISPATCHSCADA,0000000268356761
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BUTLERSG,-0.000002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CAPTL_WF,118.167999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CATHROCK,22.829998
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CHALLHWF,47
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CLOVER,-0.10
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CLUNY,7.773760
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CNUNDAWF,25.830132
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CULLRGWF,1.42
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",GB01,0.168854
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",GERMCRK,29.200001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",LKBONNY1,50.549099
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",MBAHNTH,25.556252
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",MLWF1,17.91
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",MTMILLAR,37.608387
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",PIONEER,29.300001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",PORTWF,50.299999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",REPULSE,12.728740
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",ROWALLAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",RPCG,-0.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",STARHLWF,17.994753
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",WAUBRAWF,180.132004
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",WOOLNTH1,126.410019
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",WPWF,78
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",YAMBUKWF,15.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BALDHWF1,77.4530
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BARCALDN,33.476920
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BARRON-1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BARRON-2,25.36
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BASTYAN,61.82
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BBTHREE1,28.73
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BBTHREE2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BBTHREE3,16.37
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BDL01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BDL02,-0.24
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BLOWERNG,5.094990
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BLUFF1,36.90
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BOCORWF1,22.63
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BRAEMAR1,154
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BRAEMAR2,151.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BRAEMAR3,153.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BRAEMAR5,135.213240
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BRAEMAR6,137.620210
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BRAEMAR7,134.488130
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BROKENH1,52.836670
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BW01,573.707280
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BW02,565.5390
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BW03,526.690550
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",BW04,566.551880
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CALL_B_1,304.899990
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CALL_B_2,309.800020
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CETHANA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CG1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CG2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:45:00",CG3,0
