C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2015/01/09,04:40:16,0000000257920227,DISPATCHSCADA,0000000257920221
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",BUTLERSG,9.999998
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",CAPTL_WF,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",CATHROCK,24.539999
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",CHALLHWF,11.40
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",CLOVER,-0.01
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",CLUNY,8.131010
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",CNUNDAWF,5.30
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",CULLRGWF,1
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",GB01,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",GERMCRK,37.50
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",LKBONNY1,7.323368
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",MBAHNTH,52.687504
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",MLWF1,9.54
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",MTMILLAR,19.473911
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",PIONEER,-0.50
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",PORTWF,32.700001
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",REPULSE,13.071730
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",ROWALLAN,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",RPCG,20.299999
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",STARHLWF,25.190001
D,DISPATCH,UNIT_SCADA,1,"2015/01/09 04:45:00",WAUBRAWF,34.4160
