Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,DUIDUn,Reg Cap,Inertia Constant per Unit,Inertia,Units,Technology Descriptor,Comments,Unit hard code,DUID Hardcode
Ecogen Energy Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,76,N,JLB03,76,100,20,JLB03,76,5,380,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
ERM Power Retail Pty Ltd,Oakey Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,141,N,OAKEY1,141,171,30,OAKEY1,141,5,705,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
ERM Power Retail Pty Ltd,Oakey Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,141,N,OAKEY2,141,171,30,OAKEY2,141,5,705,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Essential Energy,Broken Hill Gas Turbines,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-Feb,25,N,GB01,50,50,0,GB01,50,5,250,2,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
NewGen Braemar 2 Partnership,Braemar 2 Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),5,173,N,BRAEMAR5,173,173,35,BRAEMAR5,173,5,865,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
NewGen Braemar 2 Partnership,Braemar 2 Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),6,173,N,BRAEMAR6,173,173,35,BRAEMAR6,173,5,865,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
NewGen Braemar 2 Partnership,Braemar 2 Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),7,173,N,BRAEMAR7,173,173,35,BRAEMAR7,173,5,865,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Ladbroke Grove Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,40,N,LADBROK1,40,50,10,LADBROK1,40,5,200,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Ladbroke Grove Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,40,N,LADBROK2,40,50,10,LADBROK2,40,5,200,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Mortlake Power Station Units,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),11,283,N,MORTLK11,283,281,13,MORTLK11,283,5,1415,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Mortlake Power Station Units,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),12,283,N,MORTLK12,283,281,13,MORTLK12,283,5,1415,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Mt Stuart Power Station,QLD1,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),1,146,N,MSTUART1,146,152,31,MSTUART1,146,5,730,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Mt Stuart Power Station,QLD1,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),2,146,N,MSTUART2,146,152,31,MSTUART2,146,5,730,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Mt Stuart Power Station,QLD1,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),3,131,N,MSTUART3,131,139,28,MSTUART3,131,5,655,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,24,N,QPS1,24,25,5,QPS1,24,5,120,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,24,N,QPS2,24,25,5,QPS2,24,5,120,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,24,N,QPS3,24,25,5,QPS3,24,5,120,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,24,N,QPS4,24,25,5,QPS4,24,5,120,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),5,128,N,QPS5,128,128,26,QPS5,128,5,640,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Roma Gas Turbine Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),7,40,N,ROMA_7,40,42,9,ROMA_7,40,5,200,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Roma Gas Turbine Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),8,40,N,ROMA_8,40,42,9,ROMA_8,40,5,200,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Uranquinty Power Pty Ltd,Uranquinty Power Station ,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,166,N,URANQ11,166,166,34,URANQ11,166,5,830,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Uranquinty Power Pty Ltd,Uranquinty Power Station ,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,166,N,URANQ12,166,166,34,URANQ12,166,5,830,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Uranquinty Power Pty Ltd,Uranquinty Power Station ,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,166,N,URANQ13,166,166,34,URANQ13,166,5,830,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Origin Energy Uranquinty Power Pty Ltd,Uranquinty Power Station ,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,166,N,URANQ14,166,166,34,URANQ14,166,5,830,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,181,N,CG1,181,181,34,CG1,181,5,905,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,181,N,CG2,181,181,34,CG2,181,5,905,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,181,N,CG3,181,181,34,CG3,181,5,905,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,181,N,CG4,181,181,34,CG4,181,5,905,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Laverton North Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,156,N,LNGS1,156,172,27,LNGS1,156,5,780,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Laverton North Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,156,N,LNGS2,156,172,27,LNGS2,156,5,780,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,50,N,VPGS1,50,60,11,VPGS1,50,5,250,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,50,N,VPGS2,50,60,11,VPGS2,50,5,250,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,50,N,VPGS3,50,60,11,VPGS3,50,5,250,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,50,N,VPGS4,50,60,11,VPGS4,50,5,250,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),5,50,N,VPGS5,50,60,11,VPGS5,50,5,250,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),6,50,N,VPGS6,50,60,11,VPGS6,50,5,250,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Stanwell Corporation Limited,Mackay Gas Turbine,QLD1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1,30,N,MACKAYGT,30,34,16,MACKAYGT,30,5,150,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),5,15,N,-,15,0,0,NA,,5,0,1,Open Cycle Gas turbines (OCGT),,TRUE,FALSE
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,52,N,DRYCGT1,52,57,12,DRYCGT1,52,5,260,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,52,N,DRYCGT2,52,57,12,DRYCGT2,52,5,260,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,52,N,DRYCGT3,52,57,12,DRYCGT3,52,5,260,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Synergen Power Pty Limited,Mintaro Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,90,N,MINTARO,90,105,5,MINTARO,90,5,450,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Synergen Power Pty Limited,Port Lincoln Gas Turbine,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-Feb,25,Y,POR01,50,55,6,POR01,50,5,250,2,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Synergen Power Pty Limited,Port Lincoln Gas Turbine,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),3,23.5,N,POR03,23.5,23,5,POR03,23.5,5,117.5,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
Synergen Power Pty Limited,Snuggery Power Station,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-Mar,21,Y,SNUG1,63,69,3,SNUG1,63,5,315,3,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
AGL Hydro Partnership,Broken Hill Solar Plant,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,.1-80,0.672,Y,BROKENH1,53.76,53.76,0,BROKENH1,53.76,0,0,6,Photovoltaic Flat Panel,,FALSE,TRUE
AGL Hydro Partnership,Nyngan Solar Plant,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar PV,Renewable,Photovoltaic Flat Panel,1-154,0.66,N,NYNGAN1,102,102,20,NYNGAN1,102,0,0,154,Photovoltaic Flat Panel,,FALSE,TRUE
FRV Royalla Solar Farm Pty Ltd,Royalla Solar Farm,ACT1,Generator,Market,Non-Scheduled,Solar,Solar PV,Renewable,Photovoltaic Flat Panel,Jan-20,1,N,ROYALLA1,20,20,0,ROYALLA1,20,0,0,20,Photovoltaic Flat Panel,,TRUE,TRUE
Infigen Energy  Holdings Pty Ltd,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar PV,Renewable,PV - Panels,1-Feb,0.013,N,CESF1,1,1,0,CESF1,1,0,0,76.92,PV - Panels,,TRUE,TRUE
Infigen Energy  Holdings Pty Ltd,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar PV,Renewable,PV - Panels,3,0.011,N,CESF1,-,-,0,NA,,0,0,,PV - Panels,,#VALUE!,FALSE
Infigen Energy  Holdings Pty Ltd,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar PV,Renewable,PV - Panels,4,0.168,N,CESF1,-,-,0,NA,,0,0,,PV - Panels,,#VALUE!,FALSE
Pacific Hydro Investments Pty Ltd,Eildon Pondage Hydro Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,3,4.5,N,EILDON3,5,5,0,EILDON3,5,5,25,1,Run of River,,FALSE,TRUE
Pacific Hydro Investments Pty Ltd,Glenmaggie Hydro Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,3.8,N,GLENMAG1,4,4,0,GLENMAG1,4,5,20,1,Run of River,,FALSE,TRUE
Pacific Hydro Investments Pty Ltd,The Drop Hydro Unit 1,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,2.5,N,THEDROP1,3,3,0,THEDROP1,3,5,15,1,Run of River,,FALSE,TRUE
Pacific Hydro Investments Pty Ltd,William Hovell Hydro Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,1.5,N,WILLHOV1,2,2,0,WILLHOV1,2,5,10,1,Run of River,,FALSE,TRUE
Stanwell Corporation Limited,Barron Gorge Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Run of River,1,30,N,BARRON-1,30,33,4,BARRON-1,30,5,150,1,Run of River,,TRUE,TRUE
Stanwell Corporation Limited,Barron Gorge Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Run of River,2,30,N,BARRON-2,30,33,4,BARRON-2,30,5,150,1,Run of River,,TRUE,TRUE
Stanwell Corporation Limited,Kareeya Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Run of River,1,21,N,KAREEYA1,21,22,5,KAREEYA1,21,5,105,1,Run of River,,TRUE,TRUE
Stanwell Corporation Limited,Kareeya Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Run of River,2,21,N,KAREEYA2,21,22,5,KAREEYA2,21,5,105,1,Run of River,,TRUE,TRUE
Stanwell Corporation Limited,Kareeya Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Run of River,3,18,N,KAREEYA3,18,22,5,KAREEYA3,18,5,90,1,Run of River,,TRUE,TRUE
Stanwell Corporation Limited,Kareeya Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Run of River,4,21,N,KAREEYA4,21,22,5,KAREEYA4,21,5,105,1,Run of River,,TRUE,TRUE
Stanwell Corporation Limited,Kareeya Power Station,QLD1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,5,7,N,KAREEYA5,7,7,0,KAREEYA5,7,5,35,1,Run of River,,TRUE,TRUE
Stanwell Corporation Limited,Wivenhoe Small Hydro,QLD1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,4.7,N,WIVENSH,4.7,5,0,WIVENSH,4.7,5,23.5,1,Run of River,,TRUE,TRUE
EDL LFG (Vic) Pty Ltd,Brooklyn Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable,Landfill Gas,Combustion,Spark Ignition,2,1.03,N,-,0,0,0,NA,,0,0,,Spark Ignition,,TRUE,FALSE
EDL LFG (Vic) Pty Ltd,Brooklyn Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable,Landfill Gas,Combustion,Spark Ignition,3,0.65,N,-,0,0,0,NA,,0,0,,Spark Ignition,,TRUE,FALSE
EDL LFG (Vic) Pty Ltd,Brooklyn Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable,Landfill Gas,Combustion,Spark Ignition,1,1.15,N,BROOKLYN,2.83,2.83,0,BROOKLYN,2.83,0,0,1,Spark Ignition,,FALSE,TRUE
EDL LFG (Vic) Pty Ltd,Claytons Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable,Landfill Gas,Combustion,Spark Ignition,1-Nov,1,N,CLAYTON,11,11,0,CLAYTON,11,0,0,11,Spark Ignition,,TRUE,TRUE
EDL Projects (Australia) Pty Ltd,Moranbah North Power Station,QLD1,Generator,Market,Non-Scheduled,Renewable,Waste Coal Mine Gas,Combustion,Spark Ignition,Jan-21,3.02,Y,MBAHNTH,63,57,0,MBAHNTH,63,0,0,21,Spark Ignition,,FALSE,TRUE
EDL Group Operations Pty Ltd,Appin Power Plant,NSW1,Generator,Non-Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,Jan-54,1.03,N,-,55.6,55,0,NA,,0,0,,Spark Ignition Reciprocating Engine,,FALSE,FALSE
EDL Group Operations Pty Ltd,Berwick Power Plant,VIC1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,1.44,N,-,7.2,7,0,NA,,0,0,,Spark Ignition Reciprocating Engine,,FALSE,FALSE
EDL Group Operations Pty Ltd,Broadmeadows Power Plant,VIC1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Jul,1.03,N,-,7.2,7,0,NA,,0,0,,Spark Ignition Reciprocating Engine,,FALSE,FALSE
EDL Group Operations Pty Ltd,Tower Power Plant,NSW1,Generator,Non-Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,Jan-40,1.03,N,-,41.2,41,0,NA,,0,0,,Spark Ignition Reciprocating Engine,,FALSE,FALSE
EDL LFG (NSW) Pty Ltd,Grange Avenue Landfill Gas Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1.26,N,GRANGEAV,1.26,1.26,0,GRANGEAV,1.26,0,0,1,Spark Ignition Reciprocating Engine,,TRUE,TRUE
EDL LFG (NSW) Pty Ltd,Jacks Gully Landfill Gas Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,2,1.15,N,JACKSGUL,2.3,2.3,0,JACKSGUL,2.3,0,0,2,Spark Ignition Reciprocating Engine,,TRUE,TRUE
EDL LFG (Qld) Pty Ltd,Browns Plains Land Fill Gas Power Station,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Feb,1.9,N,BPLANDF1,2.18,2.18,0,BPLANDF1,2.18,0,0,2,Spark Ignition Reciprocating Engine,,FALSE,TRUE
EDL LFG (SA) Pty Ltd,Highbury Landfill Gas Power Station Unit 1,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1.03,N,HIGHBRY1,2,2,0,HIGHBRY1,2,0,0,1,Spark Ignition Reciprocating Engine,,FALSE,TRUE
EDL LFG (SA) Pty Ltd,Pedler Creek Landfill Gas Power Station Units 1-3,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Mar,1.03,N,PEDLER1,3,3,0,PEDLER1,3,0,0,3,Spark Ignition Reciprocating Engine,,FALSE,TRUE
EDL LFG (SA) Pty Ltd,Tea Tree Gully Landfill Gas Power Station Unit 1,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1.03,N,TEATREE1,1,1,0,TEATREE1,1,0,0,1,Spark Ignition Reciprocating Engine,,FALSE,TRUE
EDL LFG (SA) Pty Ltd,Wingfield 1 Landfill Gas Power Station Units 1-4,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,1.03,N,WING1_1,5,5,0,WING1_1,5,0,0,4,Spark Ignition Reciprocating Engine,,FALSE,TRUE
EDL LFG (SA) Pty Ltd,Wingfield 2 Landfill Gas Power Station Units 1-4,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,1.03,N,WING2_1,5,5,0,WING2_1,5,0,0,4,Spark Ignition Reciprocating Engine,,FALSE,TRUE
EDL LFG (Vic) Pty Ltd,Broadmeadows Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,1,N,BROADMDW,5,5,0,BROADMDW,5,0,0,5,Spark Ignition Reciprocating Engine,,TRUE,TRUE
EDL LFG (VIC) Pty Ltd,Corio Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1,N,CORIO1,1,1,0,CORIO1,1,0,0,1,Spark Ignition Reciprocating Engine,,TRUE,TRUE
EDL LFG (VIC) Pty Ltd,Springvale Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,1.05,N,SVALE1,4.2,4.2,0,SVALE1,4.2,0,0,4,Spark Ignition Reciprocating Engine,,TRUE,TRUE
Lumo Energy Australia Pty Ltd,Hallam Road Renewable Energy Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Aug,1.123,N,HALLAMRD1,8.984,9,0,HALLAMRD1,8.984,0,0,,Spark Ignition Reciprocating Engine,,FALSE,TRUE
Lumo Energy Australia Pty Ltd,Wollert Renewable Energy Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Jun,1.123,N,WOLLERT1,6.738,7,0,WOLLERT1,6.738,0,0,6,Spark Ignition Reciprocating Engine,,TRUE,TRUE
NovaPower Pty Ltd,Taralgon Network Support Station,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,2,N,TGNSS1,10,10,0,TGNSS1,10,0,0,5,Spark Ignition Reciprocating Engine,,TRUE,TRUE
SANTOS NSW (NARRABRI POWER) PTY LTD ,Wilga Park A Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,6,1.67 (average),N,WILGAPK,10,10,0,WILGAPK,10,0,0,1,Spark Ignition Reciprocating Engine,,#VALUE!,TRUE
SANTOS NSW (NARRABRI POWER) PTY LTD ,Wilga Park B Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,2,3,N,WILGB01,6,6,0,WILGB01,6,0,0,2,Spark Ignition Reciprocating Engine,,TRUE,TRUE
Cape Byron Management Pty Ltd,Broadwater Power Station Units 1 and 2,NSW1,Generator,Market,Non-Scheduled,Biomass,Bagasse,Combustion,Steam - sub critical,2,8,N,-,-,-,0,NA,,6,0,,Steam Sub-Critical,,#VALUE!,FALSE
Cape Byron Management Pty Ltd,Broadwater Power Station Units 1 and 2,NSW1,Generator,Market,Non-Scheduled,Biomass,Bagasse,Combustion,Steam - sub critical,1,30,N,BWTR1,38,38,0,BWTR1,38,6,228,1,Steam Sub-Critical,,FALSE,TRUE
Cape Byron Management Pty Ltd,Condong Power Station Unit 1,NSW1,Generator,Market,Non-Scheduled,Biomass,Bagasse,Combustion,Steam - sub critical,1,30,N,CONDONG1,30,30,0,CONDONG1,30,6,180,1,Steam Sub-Critical,,TRUE,TRUE
Wilmar Sugar Pty Ltd,Victoria Mill ,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam - Super heated,1,5,N,-,5,5,0,NA,,6,0,1,Steam - Super heated,,TRUE,FALSE
Wilmar Sugar Pty Ltd,Victoria Mill ,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam - Super heated,2,19,N,-,19,19,0,NA,,6,0,1,Steam - Super heated,,TRUE,FALSE
AGL Hydro Partnership,ISIS Central Sugar Mill Co-generation Plant,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,25,N,ICSM,25,25,0,ICSM,25,6,150,1,Steam Sub-Critical,,TRUE,TRUE
AGL Hydro Partnership,Roghan Road LFG Power Plant,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,2,N,EDLRGNRD,2,2,0,EDLRGNRD,2,6,12,1,Steam Sub-Critical,,TRUE,TRUE
