C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2016/02/03,20:55:08,0000000268363390,DISPATCHSCADA,0000000268363384
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BUTLERSG,-0.000002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CAPTL_WF,87.615997
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CATHROCK,14.239999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CHALLHWF,45.900002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CLOVER,-0.02
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CLUNY,7.8595
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CNUNDAWF,7.608876
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CULLRGWF,29.07
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",GB01,0.169029
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",GERMCRK,35.099998
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",LKBONNY1,11.699527
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",MBAHNTH,35.118752
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",MLWF1,10.7550
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",MTMILLAR,46.552845
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",PIONEER,31.50
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",PORTWF,52.099998
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",REPULSE,12.652520
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",ROWALLAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",RPCG,-1
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",STARHLWF,16.095306
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",WAUBRAWF,177.645996
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",WOOLNTH1,70.670013
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",WPWF,80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",YAMBUKWF,15.30
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BALDHWF1,49.4040
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BARCALDN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BARRON-1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BARRON-2,25.72
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BASTYAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BBTHREE1,29.12
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BBTHREE2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BBTHREE3,14.95
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BDL01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BDL02,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BLOWERNG,15.995010
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BLUFF1,32.40
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BOCORWF1,50.64
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BRAEMAR1,152.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BRAEMAR2,150
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BRAEMAR3,109.40
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BRAEMAR5,109.975320
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BRAEMAR6,109.753760
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BRAEMAR7,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BROKENH1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BW01,544.072750
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BW02,545.118230
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BW03,525.677670
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",BW04,539.988650
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CALL_B_1,296.800020
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CALL_B_2,312
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CETHANA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CG1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CG2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CG3,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CG4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CLEMGPWF,31.767440
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CPP_3,389.1250
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CPP_4,403.425020
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",CPSA,111.2825
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DARTM1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DDPS1,605.341980
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DEVILS_G,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DG_NSW1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DG_QLD1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DG_SA1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DG_TAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DG_VIC1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DRYCGT1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DRYCGT2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",DRYCGT3,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",EILDON1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",EILDON2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",ER01,352.949950
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",ER02,353.324950
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",ER03,332.50
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",ER04,333.650020
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",FISHER,32.09
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",GORDON,211.757970
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",GSTONE1,148.224990
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 21:00:00",GSTONE2,0
