C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2016/02/03,16:20:08,0000000268357642,DISPATCHSCADA,0000000268357636
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BUTLERSG,-0.000002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",CAPTL_WF,115.540001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",CATHROCK,28.129999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",CHALLHWF,45.400002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",CLOVER,-0.10
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",CLUNY,7.673730
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",CNUNDAWF,26.931416
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",CULLRGWF,23.23
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",GB01,0.169380
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",GERMCRK,31.200001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",LKBONNY1,40.457142
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",MBAHNTH,29.775002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",MLWF1,19.439999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",MTMILLAR,37.868835
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",PIONEER,29.300001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",PORTWF,67.400002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",REPULSE,12.500080
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",ROWALLAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",RPCG,-0.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",STARHLWF,16.095306
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",WAUBRAWF,180.304993
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",WOOLNTH1,127.110023
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",WPWF,79
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",YAMBUKWF,12.90
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BALDHWF1,80.565990
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BARCALDN,33.476920
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BARRON-1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BARRON-2,25.36
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BASTYAN,67.640010
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BBTHREE1,28.29
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BBTHREE2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BBTHREE3,16.35
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BDL01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BDL02,20.22
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BLOWERNG,8.800250
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BLUFF1,33
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BOCORWF1,26.42
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 16:25:00",BRAEMAR1,154
