C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2016/02/03,15:35:08,0000000268356612,DISPATCHSCADA,0000000268356606
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BUTLERSG,-0.000002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",CAPTL_WF,119.931999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",CATHROCK,22.289999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",CHALLHWF,45.800003
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",CLOVER,-0.11
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",CLUNY,8.073851
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",CNUNDAWF,29.033869
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",CULLRGWF,1.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",GB01,0.168854
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",GERMCRK,30.40
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",LKBONNY1,44.297443
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",MBAHNTH,31.312502
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",MLWF1,18.764999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",MTMILLAR,40.577473
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",PIONEER,29.300001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",PORTWF,53.50
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",REPULSE,13.262280
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",ROWALLAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",RPCG,-0.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",STARHLWF,20.693966
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",WAUBRAWF,178.695007
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",WOOLNTH1,121.380020
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",WPWF,80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",YAMBUKWF,17
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BALDHWF1,79.5110
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BARCALDN,33.476920
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BARRON-1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BARRON-2,25.36
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BASTYAN,1.41
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BBTHREE1,28.71
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BBTHREE2,16.52
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BBTHREE3,16.49
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BDL01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BDL02,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BLOWERNG,4.9950
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BLUFF1,29.10
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BOCORWF1,26.87
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:40:00",BRAEMAR1,149.80
